[2025-03-17 19:19:28.515] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-03-17 19:19:28.515] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-03-17 19:19:28.517] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-03-17 19:19:28.517] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-03-17 19:19:28.518] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-03-17 19:19:28.518] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-03-17 19:19:28.519] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-03-17 19:19:28.519] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-03-17 19:19:28.522] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-03-17 19:19:28.522] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-03-17 19:19:28.523] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-03-17 19:19:28.523] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-03-17 19:19:28.523] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-03-17 19:19:28.523] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-03-17 19:19:28.524] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-03-17 19:19:28.524] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-03-17 19:19:28.525] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-03-17 19:19:28.525] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-03-17 19:19:28.526] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-03-17 19:19:28.526] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-03-17 19:19:28.528] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-03-17 19:19:28.528] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-03-17 19:19:28.530] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-03-17 19:19:28.530] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
